anuradhapura     | 29.7              | 3.4              | 110                       | 72           | 11               | 1013.0
polonnaruwa      | 31.5              | 4.2              | 95                        | 68           | 13               | 1012.2
batticaloa       | 33.2              | 4.8              | 75                        | 67           | 16               | 1011.5
kegalle          | 26.5              | 2.8              | 155                       | 79           | 7                | 1010.0
ratnapura        | 28.9              | 3.1              | 125                       | 76           | 9                | 1011.3
hambantota       | 31.8              | 4.3              | 205                       | 71           | 15               | 1014.5
matale           | 25.5              | 2.3              | 280                       | 82           | 6                | 1009.8
nuwara eliya     | 18.5              | 1.5              | 310                       | 90           | 5                | 1008.7
kilinochchi      | 30.6              | 3.6              | 55                        | 66           | 14               | 1012.8
mullaitivu       | 31.2              | 3.9              | 80                        | 69           | 15               | 1011.7
mannar           | 29.0              | 3.3              | 100                       | 70           | 12               | 1013.2
vavuniya         | 29.8              | 3.5              | 120                       | 68           | 13               | 1010.9
puttalam         | 28.3              | 3.1              | 140                       | 72           | 11               | 1012.1
kalutara         | 30.5              | 3.8              | 160                       | 75           | 10               | 1011.4
gampaha          | 28.7              | 3.2              | 180                       | 78           | 9                | 1013.5
kurunegala       | 27.8              | 3.0              | 200                       | 78           | 9                | 1011.8
kandy            | 24.8              | 2.5              | 270                       | 80           | 8                | 1010.2
ampara           | 18.5              | 1.5              | 310                       | 90           | 5                | 1008.7
matara           | 29.3              | 3.7              | 200                       | 72           | 14               | 1014.2
galle            | 30.2              | 4.0              | 180                       | 70           | 12               | 1015.0
colombo          | 28.5              | 3.2              | 120                       | 75           | 10               | 1012.5
badulla          | 22.0              | 2.0              | 320                       | 85           | 6                | 1010.5
trincomalee      | 32.5              | 4.5              | 90                        | 68           | 18               | 1011.0
jaffna           | 31.0              | 3.8              | 60                        | 65           | 15               | 1013.8
monaragala       | 25.5              | 2.2              | 280                       | 81           | 7                | 1012.0
